Ticker,Data_base,Data_pagamento,Cotacao_base,Dividend_yield,Rendimentos
AAZQ11,2024-02-29,2024-03-14,9.15,1.31,0.12
AAZQ11,2024-01-31,2024-02-16,9.35,1.28,0.12
AAZQ11,2023-12-28,2024-01-15,9.1,1.32,0.12
AAZQ11,2023-11-30,2023-12-14,9.1,1.32,0.12
AAZQ11,2023-10-31,2023-11-16,9.17,1.31,0.12
AAZQ11,2023-09-29,2023-10-16,9.4,1.28,0.12
AAZQ11,2023-08-31,2023-09-15,9.38,1.28,0.12
AAZQ11,2023-07-31,2023-08-14,9.38,1.28,0.12
AAZQ11,2023-06-30,2023-07-14,9.71,1.03,0.1
AAZQ11,2023-05-31,2023-06-15,9.62,1.35,0.13
AAZQ11,2023-04-28,2023-05-15,9.63,1.45,0.14
AAZQ11,2023-03-31,2023-04-17,9.68,1.55,0.15
AAZQ11,2023-02-28,2023-03-14,9.86,1.32,0.13
AAZQ11,2023-01-31,2023-02-14,0.0,0.0,0.15
ABCP11,2024-02-29,2024-03-07,80.71,0.62,0.5
ABCP11,2024-01-31,2024-02-07,75.9,1.08,0.82
ABCP11,2023-12-28,2024-01-08,69.81,0.93,0.65
ABCP11,2023-11-30,2023-12-07,69.45,0.86,0.6
ABCP11,2023-10-31,2023-11-08,69.16,0.87,0.6
ABCP11,2023-09-29,2023-10-06,67.24,0.89,0.6
ABCP11,2023-08-31,2023-09-08,71.22,0.7,0.5
ABCP11,2023-07-31,2023-08-07,71.9,0.7,0.5
ABCP11,2023-06-30,2023-07-07,71.56,0.7,0.5
ABCP11,2023-05-31,2023-06-07,69.6,0.72,0.5
ABCP11,2023-04-28,2023-05-08,68.36,0.73,0.5
ABCP11,2023-03-31,2023-04-10,64.7,0.77,0.5
ABCP11,2023-02-28,2023-03-07,64.57,0.77,0.5
ABCP11,2023-01-31,2023-02-07,66.5,0.75,0.5
ABCP11,2022-11-30,2022-12-07,74.0,0.81,0.6
ABCP11,2022-10-31,2022-11-08,75.24,0.73,0.55
ABCP11,2022-09-30,2022-10-07,73.61,0.71,0.52
ABCP11,2022-08-31,2022-09-08,76.12,0.72,0.55
ABCP11,2022-07-29,2022-08-05,67.6,0.78,0.53
ABCP11,2022-06-30,2022-07-07,69.7,0.77,0.54
ABCP11,2022-05-31,2022-06-07,72.5,0.81,0.59
ABCP11,2022-04-29,2022-05-06,73.57,0.88,0.65
ABCP11,2022-03-31,2022-04-07,72.9,0.69,0.5
ABCP11,2022-02-25,2022-03-08,77.04,0.58,0.45
ABCP11,2022-01-31,2022-02-07,74.3,1.04,0.77
ABCP11,2021-12-30,2022-01-10,69.99,0.83,0.58
ABCP11,2021-11-30,2021-12-08,61.34,0.91,0.56
ABCP11,2021-10-29,2021-11-09,66.99,0.69,0.46
ABCP11,2021-09-30,2021-10-08,69.25,0.61,0.42
ABCP11,2021-08-31,2021-09-09,73.5,0.57,0.42
ABCP11,2021-07-30,2021-08-09,74.5,0.71,0.53
ABCP11,2021-06-30,2021-07-08,69.08,0.74,0.51
ABCP11,2021-05-31,2021-06-09,72.8,0.54,0.39
ABCP11,2021-03-31,2021-04-09,78.4,0.06,0.05
ABCP11,2021-02-26,2021-03-08,77.0,0.52,0.4
ABCP11,2021-01-29,2021-02-08,77.94,0.72,0.56
ABCP11,2020-12-30,2021-01-11,74.48,0.55,0.41
ABCP11,2020-11-30,2020-12-08,78.4,0.45,0.35
ABCP11,2020-10-30,2020-11-10,75.76,0.4,0.3
ABCP11,2020-09-30,2020-10-08,79.75,0.24,0.19
