Ticker,Categoria,Subcategoria,Link,Preço
AAGR11,Fiagro,,https://fiis.com.br/aagr11/,100.0
AAZQ11,Fiagro,Fiagro,https://fiis.com.br/aazq11/,9.23
ABCP11,Tijolo,Shoppings,https://fiis.com.br/abcp11/,77.93
AFCR11,Outros,Indefinido,https://fiis.com.br/afcr11/,0.0
AFHI11,Papel,Papéis,https://fiis.com.br/afhi11/,98.14
AFOF11,Outros,Indefinido,https://fiis.com.br/afof11/,0.0
AGRX11,Fiagro,Fiagro,https://fiis.com.br/agrx11/,10.45
AIEC11,Tijolo,Lajes Corporativas,https://fiis.com.br/aiec11/,52.09
AJFI11,Fundos Imobiliários,,https://fiis.com.br/ajfi11/,9.76
ALMI11,Tijolo,Lajes Corporativas,https://fiis.com.br/almi11/,656.09
ALZC11,Papel,Papéis,https://fiis.com.br/alzc11/,0.0
ALZM11,Papel,Fundo de Fundos,https://fiis.com.br/alzm11/,8.4
ALZR11,Fundo Misto,Misto,https://fiis.com.br/alzr11/,116.97
AMAZ11,Fiagro,,https://fiis.com.br/amaz11/,0.0
ANCR11B,Tijolo,Shoppings,https://fiis.com.br/ancr11b/,3221.0
APTO11,Tijolo,Imóveis Residenciais,https://fiis.com.br/apto11/,9.72
APXM11,Fundos Imobiliários,,https://fiis.com.br/apxm11/,100.0
APXR11,Fundos Imobiliários,,https://fiis.com.br/apxr11/,0.0
APXU11,Fundos Imobiliários,,https://fiis.com.br/apxu11/,0.0
AQLL11,Outros,Indefinido,https://fiis.com.br/aqll11/,385.03
ARCT11,Tijolo,Imóveis Industriais e Logísticos,https://fiis.com.br/arct11/,87.13
ARFI11B,Outros,Indefinido,https://fiis.com.br/arfi11b/,479.99
AROA11,Tijolo,Imóveis Industriais e Logísticos,https://fiis.com.br/aroa11/,1.04
ARRI11,Papel,Papéis,https://fiis.com.br/arri11/,9.21
ARXD11,Papel,Papéis,https://fiis.com.br/arxd/,94.5
ASMT11,Tijolo,Lajes Corporativas,https://fiis.com.br/asmt11/,53.09
ASRF11,Fundo Misto,Indefinido,https://fiis.com.br/asrf11/,10092.0
ATCR11,Tijolo,Lajes Corporativas,https://fiis.com.br/atcr11/,0.0
ATSA11,Tijolo,Shoppings,https://fiis.com.br/atsa11/,55.01
ATSA11B,Outros,Indefinido,https://fiis.com.br/atsa11b/,0.0
ATWN11,Fundo Misto,Indefinido,https://fiis.com.br/atwn11/,0.0
AURB11,Tijolo,Imóveis Comerciais - Outros,https://fiis.com.br/aurb11/,85.01
BARI11,Papel,Papéis,https://fiis.com.br/bari11/,85.7
BBFI11B,Tijolo,Lajes Corporativas,https://fiis.com.br/bbfi11b/,1303.06
BBFO11,Papel,Fundo de Fundos,https://fiis.com.br/bbfo11/,75.11
BBGO11,Fiagro,Fiagro,https://fiis.com.br/bbgo11/,87.59
BBIM11,Papel,Papéis,https://fiis.com.br/bbim11/,0.0
